text,emotion
میں بہت خوش ہوں,happy
آج کا دن بہت اچھا تھا,happy
مجھے بہت خوشی ہوئی,happy
یہ خبر سن کر دل خوش ہوگیا,happy
آج بہت مزہ آیا,happy
مجھے بہت غصہ آ رہا ہے,angry
یہ بالکل غلط ہے,angry
یہ سن کر بہت غصہ آیا,angry
اتنی بے انصافی کیوں,angry
مجھے ڈر لگ رہا ہے,fear
یہ سوچ کر ڈر لگتا ہے,fear
آگے کیا ہوگا سوچ کر ڈر لگتا ہے,fear
مجھے بہت دکھ ہوا,sad
یہ بہت برا ہوا,sad
دل بہت اداس ہے,sad
آنکھوں میں آنسو آ گئے,sad
سب کچھ ٹھیک ہے,neutral
کوئی خاص بات نہیں,neutral
آج معمول کا دن تھا,neutral
کام ہو گیا,neutral
آج بہت اچھا دن ہے,happy
میری خواہش پوری ہو گئی,happy
یہ میری زندگی کا بہترین لمحہ ہے,happy
دوستوں کے ساتھ وقت گزارنا بہت اچھا لگتا ہے,happy
امتحان میں کامیابی ملی,happy
گھر میں خوشی کا ماحول ہے,happy
کاش وہ دن واپس آ جاتے,sad
دل بہت بھاری ہے آج,sad
یہ خبر سن کر رونا آ گیا,sad
تنہائی بہت تکلیف دہ ہوتی ہے,sad
بہت یاد آتے ہیں وہ لوگ,sad
یہ ناانصافی برداشت نہیں ہوتی,angry
کیوں ہمیشہ مجھ پر ہی الزام لگتا ہے,angry
اتنا جھوٹ کیوں بولتے ہیں,angry
یہ سب غلط ہو رہا ہے,angry
بالکل بھی صحیح نہیں کیا انہوں نے,angry
رات کو اکیلے جانے سے ڈر لگتا ہے,fear
امتحان کا نتیجہ سوچ کر ڈر لگتا ہے,fear
آگے کیا ہوگا معلوم نہیں,fear
اندھیرے میں بہت خوف آتا ہے,fear
آج دفتر گیا اور کام کیا,neutral
کھانا کھایا اور سو گیا,neutral
باہر موسم ٹھیک ہے,neutral
کل اسکول جانا ہے,neutral
گھر پر بیٹھا ہوں,neutral
